Title,status,difficulty,frequency,tags,link
Longest Substring Without Repeating Characters,SOLVED,MEDIUM,35.8,Hash Table; String; Sliding Window,https://leetcode.com/problems/longest-substring-without-repeating-characters/
Merge Intervals,SOLVED,MEDIUM,35.8,Array; Sorting,https://leetcode.com/problems/merge-intervals/
Fraction to Recurring Decimal,TO_DO,MEDIUM,35.8,Hash Table; Math; String,https://leetcode.com/problems/fraction-to-recurring-decimal/
Coin Change,TO_DO,MEDIUM,35.8,Array; Dynamic Programming; Breadth-First Search,https://leetcode.com/problems/coin-change/
Flatten Nested List Iterator,TO_DO,MEDIUM,35.8,Stack; Tree; Depth-First Search; Design; Queue; Iterator,https://leetcode.com/problems/flatten-nested-list-iterator/
Nth Digit,TO_DO,MEDIUM,35.8,Math; Binary Search,https://leetcode.com/problems/nth-digit/
Can Place Flowers,SOLVED,EASY,35.8,Array; Greedy,https://leetcode.com/problems/can-place-flowers/
Making A Large Island,SOLVED,HARD,35.8,Array; Depth-First Search; Breadth-First Search; Union Find; Matrix,https://leetcode.com/problems/making-a-large-island/
Shortest Path in Binary Matrix,SOLVED,MEDIUM,35.8,Array; Breadth-First Search; Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix/
All O`one Data Structure,TO_DO,HARD,44.2,Hash Table; Linked List; Design; Doubly-Linked List,https://leetcode.com/problems/all-oone-data-structure/
Time Based Key-Value Store,TO_DO,MEDIUM,44.2,Hash Table; String; Binary Search; Design,https://leetcode.com/problems/time-based-key-value-store/
Subarray Product Less Than K,SOLVED,MEDIUM,54.9,Array; Binary Search; Sliding Window; Prefix Sum,https://leetcode.com/problems/subarray-product-less-than-k/
Shortest Uncommon Substring in an Array,TO_DO,MEDIUM,54.9,Array; Hash Table; String; Trie,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array/
Design Tic-Tac-Toe,SOLVED,MEDIUM,58.8,Array; Hash Table; Design; Matrix; Simulation,https://leetcode.com/problems/design-tic-tac-toe/
Design Excel Sum Formula,TO_DO,HARD,58.8,Array; Hash Table; String; Graph; Design; Topological Sort; Matrix,https://leetcode.com/problems/design-excel-sum-formula/
